record_type,scenario_name,group_hierarchy,request_name,status,start_timestamp,end_timestamp,response_time_ms,error_message,event_type,duration_ms,cumulated_response_time_ms,is_incoming
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864778502,,,,start,,,
request,,,events,OK,1750864778518,1750864778869,351,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864778889,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864778889,,,,start,,,
request,,,events,OK,1750864778890,1750864779224,334,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864779225,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864779225,,,,start,,,
request,,,events,OK,1750864779226,1750864779567,341,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864779568,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864779568,,,,start,,,
request,,,events,OK,1750864779568,1750864779916,348,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864779917,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864779917,,,,start,,,
request,,,events,OK,1750864779918,1750864780240,322,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864780241,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864780241,,,,start,,,
request,,,events,OK,1750864780242,1750864780609,367,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864780610,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864780611,,,,start,,,
request,,,events,OK,1750864780611,1750864780942,331,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864780943,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864780943,,,,start,,,
request,,,events,OK,1750864780944,1750864781318,374,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864781319,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864781320,,,,start,,,
request,,,events,OK,1750864781320,1750864781691,371,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864781692,,,,end,,,
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864781692,,,,start,,,
request,,,events,OK,1750864781692,1750864782034,342,,,,,false
user,/api/tracker/events?program=bMcwwoVnbSR&pageSize=100&totalPages=true&occurredAfter=2024-01-01&occurredBefore=2024-12-31,,,,1750864782034,,,,end,,,
